step,mae_custom,rmse_custom
1,18535.73812327909,23849.53973683444
2,18714.592358675203,24254.367406069443
3,19116.813728450754,24915.99673316519
4,19368.40292314912,25435.57003108336
5,19386.760740371206,25551.90404673095
6,19547.309023859685,25808.001658005258
7,19637.01379980669,25876.55880950526
8,19661.146125439947,25784.550748464466
9,19670.004302967613,25610.50566071073
10,19758.620136072248,25594.75578437036
11,19638.966217229285,25288.142752157968
12,19486.179281612272,24977.695367522752
13,19257.53912843387,24585.13958660134
14,19034.3728692256,24248.689034715127
15,18736.38252028917,23812.12464170098
16,18396.490349199103,23377.004927834478
17,18080.06820214388,22987.976425226367
18,17853.165269182875,22775.64541148053
19,17723.30145204802,22707.11132549738
20,17588.257126300025,22638.871379330794
21,17522.0021669776,22567.024085587193
22,17598.880496480855,22553.74281768296
23,17805.034208194647,22682.7686854341
24,18230.077434499282,23176.386024792628
25,18554.655828216837,23559.247669272147
26,18936.693351804883,23987.84550971011
27,19327.729562154298,24364.816966734823
28,19656.51968140939,24572.36607036911
29,19916.85658900544,24731.955882663293
30,20024.267845844723,24851.83153181854
31,19912.5806494616,24676.452324008194
32,19577.584914750383,24048.69626626734
33,19031.72394051964,22812.312280055336
34,18630.81473881616,21982.235208922928
35,18396.195800721627,21542.908372308422
36,18287.342372520518,21373.77697626755
37,18331.731540530618,21435.91391598141
38,18410.920036573385,21532.004079365946
39,18545.931777913265,21661.816611423015
40,18680.068952874684,21757.397789445666
41,19150.055994149698,22291.067985299735
42,19620.360142169244,22775.986568936747
43,20067.422132939206,23215.16022330067
44,20441.334058753233,23507.973324007362
45,20778.271644026434,23768.957702817905
46,21049.97227766106,23918.874403191672
47,21211.918732791903,23987.429173271248
48,21210.509306169166,23987.000204285174
49,21121.257824811633,23967.138194265928
50,21130.85509634762,23969.113118159257
51,21225.197920224145,23989.59294512245
52,21345.881359302428,24035.101262333683
53,21458.15440775572,24099.475516722123
54,21472.4417536101,24107.13372531488
55,21388.74339686558,24065.29579118402
56,21237.96859896458,24003.906424645866
57,21105.523432008446,23923.8263608674
58,20954.98121971842,23851.870492960945
59,20786.341962094484,23792.78522114597
60,20709.878631583255,23764.197212006857
61,20615.318255738126,23741.031827579794
62,20529.242535046225,23721.574853329468
63,20451.651469507553,23705.510022537936
64,20439.637901874226,23701.906147847225
65,20436.10898939412,23700.915110384372
66,20415.249618193582,23695.608942799117
67,20377.059788272603,23686.903470379235
68,20361.843604209553,23682.786400108795
69,20329.296961426076,23674.840915608285
70,20247.980706796752,23647.398863579645
71,20117.894840321587,23591.27989846441
72,20023.267151155935,23524.67527942609
73,19879.86985014444,23409.883718988094
74,19769.40450791702,23325.64618688666
75,19939.84648964134,23534.83036602785
76,20380.79243846858,24348.178780662958
77,21102.64571124755,25930.271169914642
78,21661.174499758115,26888.950501449803
79,22056.37880400027,27406.658825851035
80,22148.014153808308,27496.74844178766
81,22076.32501934793,27451.812861004946
82,22085.607434052083,27458.538507132514
83,22175.86139792077,27532.606358280103
84,22386.43678076351,27726.675315894034
85,22677.983712770787,28020.959259314102
86,22821.488049875432,28159.612223224565
87,22816.949792077445,28155.39819811888
88,22633.423858005164,28009.42909360264
89,22301.85532903025,27755.652747881464
90,22029.22293760996,27621.30376200304
91,21905.303673937917,27575.246827539126
92,21952.552870801384,27593.366191613542
93,22113.99529942979,27651.60348033068
94,22198.77057271595,27672.833011742794
95,22160.731815608906,27664.43963027947
96,22082.408615688782,27634.489140766287
