step,mae_custom,rmse_custom
1,11588.099050915209,17440.720324394446
2,11817.721825151175,17665.411660853002
3,11943.866174519537,17815.187873599174
4,12077.99397872881,17917.86593794024
5,12181.029763137762,17982.57620843017
6,12239.126656655819,18010.443318866062
7,12275.960803478296,18020.22411634727
8,12270.943615344702,18012.00209033455
9,12254.342723482841,18007.85548359532
10,12223.06993551802,17996.88494404026
11,12188.462359462914,17985.09066902952
12,12183.51800307176,17987.383159621262
13,12161.99691410097,17980.232446223552
14,12136.229226488562,17964.61725362427
15,12160.21351582573,17968.11074503812
16,12187.204510785808,17973.928828469
17,12180.917175578172,17970.002161591838
18,12159.184706622988,17963.57191203021
19,12137.263583633598,17958.28595164074
20,12119.438621510772,17953.475786571707
21,12083.09433541964,17938.758679115195
22,12084.282827722554,17939.35135657014
23,12097.827300437726,17948.304338245023
24,12159.780915300877,17977.119040178844
25,12245.644711345003,18021.301171536576
26,12340.111900590668,18061.706269339502
27,12412.256859724133,18087.913337341502
28,12479.247678560814,18107.534235410076
29,12537.52170287402,18121.808682361345
30,12551.981094252566,18124.917504968875
31,12540.232137812689,18121.466012130903
32,12485.813758976647,18103.146368258673
33,12407.659306497073,18075.343801961902
34,12355.85684739175,18056.531259914955
35,12308.475638215612,18038.131765584814
36,12284.430134000648,18029.04374886887
37,12278.61897923064,18026.870805810413
38,12286.993346842064,18030.068512733113
39,12300.656587350453,18035.437432656556
40,12329.686917969382,18046.81297617088
41,12289.012759569348,18037.899238570957
42,12319.301208067314,18057.86883490081
43,12420.552263463285,18168.79666969456
44,12585.574918205042,18409.144143779173
45,12821.560179844804,18847.2381203604
46,13027.940004446291,19310.936088058243
47,13204.714392009511,19773.64576524717
48,13217.23758157021,19804.378977909655
49,13200.155334092648,19755.28281090413
50,13177.76271823112,19696.789322353845
51,13150.059733985647,19631.693584391294
52,13091.259957409775,19554.03370087039
53,13027.149812449949,19486.52226074975
54,12977.844968426338,19444.61451926343
55,12943.345425338935,19422.362537164587
56,13009.806662523813,19460.503583173526
57,13091.073200644902,19490.32396512602
58,13141.647951060688,19505.19818963701
59,13161.530913771168,19509.603720520452
60,13214.067274001514,19523.27837705459
61,13235.911846526555,19527.381925394362
62,13236.935229397423,19527.537761426716
63,13217.137422614114,19525.22684969303
64,13217.054163617782,19525.222895107632
65,13231.435949452565,19526.64208634163
66,13216.669499785392,19525.344787712176
67,13185.334557078686,19521.96165658662
68,13170.824833294171,19520.766743677304
69,13185.463345011614,19522.13075593833
70,13220.988328667365,19525.931745981004
71,13270.13287861831,19532.74565559191
72,13260.173867763151,19529.95584713569
73,13271.101328846313,19533.167954324206
74,13281.26152786419,19536.401695887143
75,13290.654464816791,19539.6196652101
76,13321.479720097568,19547.58309833369
77,13351.537713313066,19556.077095075343
78,13379.54940750674,19565.10141300396
79,13405.514802678596,19574.49294998006
80,13455.630730441204,19591.287138134554
81,13503.700359181994,19609.28590047976
82,13559.468640623862,19631.040190089247
83,13622.935574766807,19656.783926421158
84,13692.970006908203,19692.423729637776
85,13769.55749768907,19732.758931531658
86,13844.650758680853,19774.29170870445
87,13918.249789883548,19816.932556109023
88,13784.211619755968,19659.443414627007
89,13648.679219839301,19495.126548051718
90,13517.760673988494,19334.666675886354
91,13391.455982203543,19178.189806939394
92,13232.858629431192,18966.68989334146
93,13078.875130724695,18758.563380432603
94,12905.288363769185,18526.88786445503
95,12712.09832856466,18272.084486709035
96,12663.594026378922,18193.119167223915
