step,mae_chronos,rmse_chronos
1,3089.3855469607042,4215.69260870483
2,5860.353817189409,7952.241234116761
3,8088.880203458664,11394.367830363184
4,10026.9192311467,13992.908567226552
5,11329.453480311045,15629.620133162465
6,12132.636188488865,16578.56435073478
7,12644.622457382991,17000.232452211327
8,13046.938377002427,17346.761504617883
9,13396.320175237468,17583.942236607247
10,13805.773769817408,17791.498037167974
11,14318.520317388238,18160.904169786987
12,14663.56288610013,18418.217259992103
13,14777.102645368517,18655.432665831122
14,15265.961558759445,19255.537727228035
15,15787.524302530672,19757.99352871164
16,16217.487770226631,20258.211468143523
17,16677.560435682735,20726.4920329627
18,17257.542140153713,21367.877391951428
19,17810.064999648923,22063.75064468615
20,18470.273990828067,22843.548525594448
21,18962.59379355035,23600.399946203685
22,19249.656716917074,24152.64211621834
23,19453.72810194828,24616.358978540153
24,19679.958568860544,25100.593725613526
25,20112.33135387555,25820.76031267691
26,20496.76289607772,26441.555645482185
27,20962.786002389854,26882.530133996002
28,21497.53445775243,27554.102330662907
29,21971.039031165732,28226.23872464775
30,22484.231406592124,29025.701547690114
31,23458.801764665874,29954.48697333633
32,24575.7666704176,31041.858882397897
33,25270.54758679789,31883.425847623286
34,25669.89560236336,32412.590737443923
35,26639.970437588006,33448.6103023516
36,27430.718889749944,34440.87580652702
37,28123.698580769968,35180.86421205587
38,28714.117137395788,36045.35864978275
39,29466.483591916895,36877.33040253706
40,29918.918270822836,37297.46458551475
41,30047.99505642578,37264.04038872547
42,30384.299929559278,37450.91797810237
43,30875.383062691337,37850.22230864052
44,31107.791093098505,38014.29550175416
45,31734.853084188137,38588.41908372149
46,32374.659728049424,39220.2121655197
47,33089.43882058417,39677.07374576702
48,33638.95362189625,40090.8081910129
49,33975.44150311972,40524.14810231599
50,34178.68221503267,40759.07412278759
51,34754.72280151606,41056.62509557233
52,35719.18838284481,41885.47853816143
53,36871.963627976555,42841.38166487237
54,37650.88887300415,43336.16393905013
55,38137.54506986972,43717.991618609456
56,38720.80237664884,44264.84168357325
57,38651.14763068404,44220.506622033696
58,38457.864820656694,44004.7064443356
59,38292.10718874328,43743.52062764566
60,38441.25188782424,43807.58136357128
61,38647.8430622295,43985.85419070576
62,38951.55984212471,44352.42469638473
63,39016.56144991048,44466.696065085365
64,39150.263090695844,44480.74803570764
65,40441.28757977789,46340.11411612408
66,40316.29783291067,46346.783990792945
67,40113.48366857199,46274.743407589194
68,39967.83320016392,46269.124180380524
69,39967.16621711938,46232.9573143449
70,40023.92915069263,46187.75724758939
71,39871.743310626545,45999.84870808112
72,39759.80848137139,45986.78561474693
73,39554.87008000589,45739.82772196727
74,39679.84954612119,45738.74589074854
75,40154.7643431578,46260.35171642261
76,40827.65107572234,47132.74294083504
77,41450.07897875599,48012.76673867753
78,41981.08032319123,48518.71202592997
79,42336.165378446785,48776.84701345854
80,42182.55850485424,48620.21821990389
81,41788.94167685355,48270.98176174921
82,41616.69814961385,47998.8397449406
83,41564.993351591926,47701.88151692149
84,41583.62788072596,47514.00605490685
85,41636.89178841457,47417.821140898544
86,41892.58163822461,47604.27463097667
87,41819.1330067393,47785.98691385252
88,41490.21615184861,47573.418082251585
89,40965.53108056288,47111.79342674405
90,40253.755492960154,46477.23493074452
91,39382.31482499912,45761.74882954985
92,38743.56825786527,45126.96595551954
93,38243.19105202578,44706.20484332187
94,37785.53459916158,44505.286090171794
95,37197.61770364272,44136.17617497983
96,36809.697517785164,44076.07630534419
