step,mae_chronos,rmse_chronos
1,5306.83127678462,6997.067961189996
2,7165.177301585165,10165.704203518888
3,9834.114555071246,13944.839125396544
4,11698.186807491691,16486.0612288474
5,12859.468144407076,17421.8156718804
6,13601.162697553234,17777.11878169768
7,13656.334408899133,17726.679092389215
8,13517.980420055019,17276.41183561798
9,13658.540356053803,17023.165097912824
10,14106.565001184514,17158.8102445561
11,14516.645080935963,17517.85522220334
12,14674.863644349236,17763.21966761451
13,14472.067563698594,17564.376644068765
14,14158.164679953084,17109.086620655034
15,13547.811597948032,16637.05154260003
16,13353.770494099039,16328.278772378675
17,13044.491950450893,16202.910830689825
18,12718.10112294756,15944.453920577927
19,12919.662920338065,15932.725391676468
20,13136.888183435085,16172.686079467025
21,13041.474618875036,16129.55038973258
22,12884.214441713584,16246.845861211503
23,12430.307052280568,16224.880021533289
24,11796.57118230005,15283.864638395069
25,11027.126051496602,14784.237247803816
26,10968.047668327601,14729.650676242374
27,10632.154796264324,14117.55699036019
28,10355.32823750457,13643.241107357266
29,10331.69161079061,13306.15202182068
30,10051.213546295228,12738.272852599812
31,9709.922610353477,12107.19124087542
32,9337.276357187591,11531.91785620639
33,9098.54869551929,11195.41263461932
34,9190.405311144425,11130.691969347783
35,9434.803718089704,11307.55295546017
36,9554.508005690654,11522.00527796666
37,9682.463239998127,11896.720818022184
38,9960.499510748212,12119.092306500053
39,10298.695889258704,12350.780417002054
40,10579.06469636086,12464.578327479949
41,10980.348198949096,12658.260200859599
42,11178.70671236409,12875.831481278656
43,11146.50572306804,12831.152071706709
44,11080.518434801183,12623.631882002186
45,10906.520336842043,12529.192846828857
46,10915.151692741423,12699.889644429617
47,10919.113970081655,13156.244968572903
48,10690.642034654473,13353.992725140188
49,10650.88920817464,13377.456312417948
50,10566.248682696258,13268.824595087435
51,10553.704155591804,13061.133843014439
52,10775.179536474492,12954.157179540067
53,10977.282669039054,12894.4974906909
54,11064.164437825835,12996.79377926099
55,11387.141531012328,13345.764134447672
56,11446.444488809204,13702.011751946084
57,11722.301652907248,14323.709018547497
58,11939.60575963895,14960.03271106856
59,12016.786967490425,15456.117556850742
60,12032.468076289219,15739.774748631353
61,11566.450317333969,15493.211277603612
62,11160.4782917554,15128.055375346219
63,10826.025481587421,14839.101009769109
64,11135.601764783134,14830.743885354173
65,11468.161044538472,14865.205222327622
66,11702.526527159947,14724.759513096398
67,11977.620028948155,14748.520892462517
68,12270.881533585709,14817.36532555741
69,12561.82849153748,14951.057557220642
70,12949.093356917754,15311.831621009407
71,13252.433524475202,15728.303432839428
72,13481.754272712637,16140.27425641823
73,13716.948294763979,16724.618594792657
74,13986.488715472153,17189.880245934535
75,14017.813713409678,17361.26851471682
76,13851.85049552273,17432.06508363504
77,13949.967768934783,17495.952567289278
78,13991.791531383009,17425.127822674378
79,14112.338733819732,17364.03055976923
80,14306.321848106945,17329.32233012158
81,14406.402038255852,17018.144588278305
82,14241.0408034141,16602.21397224457
83,14105.994723053358,16547.19127358187
84,14188.29409703365,16966.038426870655
85,14084.109598582101,17402.85825036518
86,14231.345916990535,18239.085561439344
87,14866.273916615142,19354.878168055468
88,15566.244569120381,20518.237783431934
89,16515.437269256723,21763.398157060357
90,17042.84988155325,22506.953220969674
91,17209.082050376288,22953.955832360538
92,17577.44366994565,23496.01735743413
93,18175.184843998286,24289.174122801567
94,18439.56439017164,24849.628634837703
95,18629.683758482544,25363.9732472653
96,19197.8205041017,26141.68383066032
