date_time,site,wind_spd,wind_dir,temperature,rel_humidity,clouds,weather_icon,weather_code,weather_description,visibility,precipitation,snow,part_of_day,solar_rad,dhi,dni,ghi
2024-01-01 00:00:00+00:00,80442.8,0.4,290,15,76,82,c04d,804,Overcast clouds,16000,0,0,day,54,50,446,106
2024-01-01 00:15:00+00:00,80442.8,0.7,290,15,76,80.5,,804,,16000,0,0,,40.5,37.5,334.5,79.5
2024-01-01 00:30:00+00:00,80442.8,1,290,15,76,79,,804,,16000,0,0,,27,25,223,53
2024-01-01 00:45:00+00:00,80442.8,1.3,290,15,76,77.5,,804,,16000,0,0,,13.5,12.5,111.5,26.5
2024-01-01 01:00:00+00:00,80442.8,1.6,290,15,76,76,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 01:15:00+00:00,80442.8,1.5,290,14.75,76.75,57,,803,,16000,0,0,,0,0,0,0
2024-01-01 01:30:00+00:00,80442.8,1.4,290,14.5,77.5,38,,802,,16000,0,0,,0,0,0,0
2024-01-01 01:45:00+00:00,80442.8,1.3,290,14.25,78.25,19,,801,,16000,0,0,,0,0,0,0
2024-01-01 02:00:00+00:00,80442.8,1.2,290,14,79,0,c01n,800,Clear Sky,16000,0,0,night,0,0,0,0
2024-01-01 02:15:00+00:00,80442.8,1.2,290,13.75,81.5,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 02:30:00+00:00,80442.8,1.2,290,13.5,84,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 02:45:00+00:00,80442.8,1.2,290,13.25,86.5,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 03:00:00+00:00,80442.8,1.2,290,13,89,0,c01n,800,Clear Sky,16000,0,0,night,0,0,0,0
2024-01-01 03:15:00+00:00,80442.8,1.3,290,12.75,90,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 03:30:00+00:00,80442.8,1.4,290,12.5,91,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 03:45:00+00:00,80442.8,1.5,290,12.25,92,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 04:00:00+00:00,80442.8,1.6,290,12,93,0,c01n,800,Clear Sky,16000,0,0,night,0,0,0,0
2024-01-01 04:15:00+00:00,80442.8,1.6,290,12,93,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 04:30:00+00:00,80442.8,1.6,290,12,93,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 04:45:00+00:00,80442.8,1.6,290,12,93,0,,800,,16000,0,0,,0,0,0,0
2024-01-01 05:00:00+00:00,80442.8,1.6,290,12,93,0,c01n,800,Clear Sky,16000,0,0,night,0,0,0,0
