date_time,site,wind_spd,wind_dir,temperature,rel_humidity,clouds,weather_icon,weather_code,weather_description,visibility,precipitation,snow,part_of_day,solar_rad,dhi,dni,ghi
2024-01-01 00:00:00+00:00,22394.9205056589,5.09,270,2,61,87,c04n,804,Overcast clouds,14000,0,0,night,0,0,0,0
2024-01-01 00:15:00+00:00,23411.5767241445,4.965,270,2,61.75,87,,804,,14000,0,0,,0,0,0,0
2024-01-01 00:30:00+00:00,24428.23294263,4.84,270,2,62.5,87,,804,,14000,0,0,,0,0,0,0
2024-01-01 00:45:00+00:00,25444.8891611156,4.715,270,2,63.25,87,,804,,14000,0,0,,0,0,0,0
2024-01-01 01:00:00+00:00,26461.5453796012,4.59,270,2,64,87,c04n,804,Overcast clouds,14000,0,0,night,0,0,0,0
2024-01-01 01:15:00+00:00,26573.5741156603,4.3425,275,2,64.5,87,,804,,14000,0,0,,0,0,0,0
2024-01-01 01:30:00+00:00,26685.6028517194,4.095,280,2,65,87,,804,,14000,0,0,,0,0,0,0
2024-01-01 01:45:00+00:00,26797.6315877785,3.8475,285,2,65.5,87,,804,,14000,0,0,,0,0,0,0
2024-01-01 02:00:00+00:00,26909.6603238376,3.6,290,2,66,87,c04n,804,Overcast clouds,14000,0,0,night,0,0,0,0
2024-01-01 02:15:00+00:00,25932.471451442,3.7225,290,2,66,87,,804,,14500,0,0,,0,0,0,0
2024-01-01 02:30:00+00:00,24955.2825790463,3.845,290,2,66,87,,804,,15000,0,0,,0,0,0,0
2024-01-01 02:45:00+00:00,23978.0937066507,3.9675,290,2,66,87,,804,,15500,0,0,,0,0,0,0
2024-01-01 03:00:00+00:00,23000.9048342551,4.09,290,2,66,87,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 03:15:00+00:00,23260.4639282982,4.09,287.5,1.75,66,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 03:30:00+00:00,23520.0230223414,4.09,285,1.5,66,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 03:45:00+00:00,23779.5821163846,4.09,282.5,1.25,66,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 04:00:00+00:00,24039.1412104278,4.09,280,1,66,87,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 04:15:00+00:00,24270.558893735,3.9675,282.5,1,66.75,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 04:30:00+00:00,24501.9765770423,3.845,285,1,67.5,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 04:45:00+00:00,24733.3942603495,3.7225,287.5,1,68.25,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 05:00:00+00:00,24964.8119436567,3.6,290,1,69,87,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 05:15:00+00:00,26096.05321002,3.8475,285,1,69,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 05:30:00+00:00,27227.2944763834,4.095,280,1,69,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 05:45:00+00:00,28358.5357427467,4.3425,275,1,69,87,,804,,16000,0,0,,0,0,0,0
2024-01-01 06:00:00+00:00,29489.7770091101,4.59,270,1,69,87,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 06:15:00+00:00,29069.7013149751,4.715,275,1,69,90.25,,804,,16000,0,0,,0,0,0,0
2024-01-01 06:30:00+00:00,28649.6256208402,4.84,280,1,69,93.5,,804,,16000,0,0,,0,0,0,0
2024-01-01 06:45:00+00:00,28229.5499267053,4.965,285,1,69,96.75,,804,,16000,0,0,,0,0,0,0
2024-01-01 07:00:00+00:00,27809.4742325704,5.09,290,1,69,100,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 07:15:00+00:00,26953.39011704,4.7175,285,1,70.25,100,,804,,16000,0,0,,0,0,0,0
2024-01-01 07:30:00+00:00,26097.3060015096,4.345,280,1,71.5,100,,804,,16000,0,0,,0,0,0,0
2024-01-01 07:45:00+00:00,25241.2218859792,3.9725,275,1,72.75,100,,804,,16000,0,0,,0,0,0,0
2024-01-01 08:00:00+00:00,24385.1377704488,3.6,270,1,74,100,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 08:15:00+00:00,26257.5193479502,3.7225,270,1.25,73.5,100,,804,,16000,0,0,,0,0,0,0
2024-01-01 08:30:00+00:00,28129.9009254517,3.845,270,1.5,73,100,,804,,16000,0,0,,0,0,0,0
2024-01-01 08:45:00+00:00,30002.2825029531,3.9675,270,1.75,72.5,100,,804,,16000,0,0,,0,0,0,0
2024-01-01 09:00:00+00:00,31874.6640804546,4.09,270,2,72,100,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 09:15:00+00:00,31137.0888159691,4.09,272.5,2,72,100,,804,,15500,0,0,,0,0,0,0
2024-01-01 09:30:00+00:00,30399.5135514836,4.09,275,2,72,100,,804,,15000,0,0,,0,0,0,0
2024-01-01 09:45:00+00:00,29661.9382869981,4.09,277.5,2,72,100,,804,,14500,0,0,,0,0,0,0
2024-01-01 10:00:00+00:00,28924.3630225126,4.09,280,2,72,100,c04n,804,Overcast clouds,14000,0,0,night,0,0,0,0
2024-01-01 10:15:00+00:00,39289.2518873974,3.8425,282.5,2,72,100,,804,,14000,0,0,,0,0,0,0
2024-01-01 10:30:00+00:00,49654.1407522822,3.595,285,2,72,100,,804,,14000,0,0,,0,0,0,0
2024-01-01 10:45:00+00:00,60019.029617167,3.3475,287.5,2,72,100,,804,,14000,0,0,,0,0,0,0
2024-01-01 11:00:00+00:00,70383.9184820518,3.1,290,2,72,100,c04n,804,Overcast clouds,14000,0,0,night,0,0,0,0
2024-01-01 11:15:00+00:00,76267.4135580878,3.225,292.5,2,72,100,,804,,14000,0,0,,0,0,0,0
2024-01-01 11:30:00+00:00,82150.9086341239,3.35,295,2,72,100,,804,,14000,0,0,,0,0,0,0
2024-01-01 11:45:00+00:00,88034.40371016,3.475,297.5,2,72,100,,804,,14000,0,0,,0,0,0,0
2024-01-01 12:00:00+00:00,93917.8987861961,3.6,300,2,72,100,c04n,804,Overcast clouds,14000,0,0,night,0,0,0,0
2024-01-01 12:15:00+00:00,88509.2372952325,3.7225,305,2,71.25,100,,804,,14500,0,0,,0,0,0,0
2024-01-01 12:30:00+00:00,83100.575804269,3.845,310,2,70.5,100,,804,,15000,0,0,,0,0,0,0
2024-01-01 12:45:00+00:00,77691.9143133054,3.9675,315,2,69.75,100,,804,,15500,0,0,,0,0,0,0
2024-01-01 13:00:00+00:00,72283.2528223419,4.09,320,2,69,100,c04n,804,Overcast clouds,16000,0,0,night,0,0,0,0
2024-01-01 13:15:00+00:00,66734.6132361946,4.09,315,2,69,100,,804,,16000,0,0,,15.75,12.75,116,28.75
2024-01-01 13:30:00+00:00,61185.9736500472,4.09,310,2,69,100,,804,,16000,0,0,,31.5,25.5,232,57.5
2024-01-01 13:45:00+00:00,55637.3340638999,4.09,305,2,69,100,,804,,16000,0,0,,47.25,38.25,348,86.25
2024-01-01 14:00:00+00:00,50088.6944777526,4.09,300,2,69,100,c04d,804,Overcast clouds,16000,0,0,day,63,51,464,115
2024-01-01 14:15:00+00:00,47130.8999880454,3.9675,300,2,69.75,100,,804,,16000,0,0,,72.25,56.75,512.5,152.25
2024-01-01 14:30:00+00:00,44173.1054983383,3.845,300,2,70.5,100,,804,,16000,0,0,,81.5,62.5,561,189.5
2024-01-01 14:45:00+00:00,41215.3110086312,3.7225,300,2,71.25,100,,804,,16000,0,0,,90.75,68.25,609.5,226.75
2024-01-01 15:00:00+00:00,38257.516518924,3.6,300,2,72,100,c04d,804,Overcast clouds,16000,0,0,day,100,74,658,264
2024-01-01 15:15:00+00:00,36980.9502513527,3.8475,300,2.25,71.25,100,,804,,16000,0,0,,106.25,77.25,680.5,294
2024-01-01 15:30:00+00:00,35704.3839837815,4.095,300,2.5,70.5,100,,804,,16000,0,0,,112.5,80.5,703,324
2024-01-01 15:45:00+00:00,34427.8177162102,4.3425,300,2.75,69.75,100,,804,,16000,0,0,,118.75,83.75,725.5,354
2024-01-01 16:00:00+00:00,33151.2514486389,4.59,300,3,69,100,c04d,804,Overcast clouds,16000,0,0,day,125,87,748,384
2024-01-01 16:15:00+00:00,35989.8845517499,4.465,300,3,69,100,,804,,16000,0,0,,128.75,88.75,758.5,402
2024-01-01 16:30:00+00:00,38828.5176548608,4.34,300,3,69,100,,804,,16000,0,0,,132.5,90.5,769,420
2024-01-01 16:45:00+00:00,41667.1507579718,4.215,300,3,69,100,,804,,16000,0,0,,136.25,92.25,779.5,438
2024-01-01 17:00:00+00:00,44505.7838610827,4.09,300,3,69,100,c04d,804,Overcast clouds,16000,0,0,day,140,94,790,456
2024-01-01 17:15:00+00:00,45549.0430796731,4.215,302.5,3,68.5,100,,804,,16000,0,0,,140.5,94.25,792.25,460.25
2024-01-01 17:30:00+00:00,46592.3022982635,4.34,305,3,68,100,,804,,16000,0,0,,141,94.5,794.5,464.5
2024-01-01 17:45:00+00:00,47635.5615168539,4.465,307.5,3,67.5,100,,804,,16000,0,0,,141.5,94.75,796.75,468.75
2024-01-01 18:00:00+00:00,48678.8207354443,4.59,310,3,67,100,c04d,804,Overcast clouds,16000,0,0,day,142,95,799,473
2024-01-01 18:15:00+00:00,48300.5543785287,4.3425,307.5,3,67.5,100,,804,,16000,0,0,,140.25,94.25,793.25,462.25
2024-01-01 18:30:00+00:00,47922.2880216131,4.095,305,3,68,100,,804,,16000,0,0,,138.5,93.5,787.5,451.5
2024-01-01 18:45:00+00:00,47544.0216646975,3.8475,302.5,3,68.5,100,,804,,16000,0,0,,136.75,92.75,781.75,440.75
2024-01-01 19:00:00+00:00,47165.7553077819,3.6,300,3,69,100,c04d,804,Overcast clouds,16000,0,0,day,135,92,776,430
2024-01-01 19:15:00+00:00,47084.9036778061,3.6,295,3.25,68.25,100,,804,,16000,0,0,,130.25,89.5,760.75,406.25
2024-01-01 19:30:00+00:00,47004.0520478303,3.6,290,3.5,67.5,100,,804,,16000,0,0,,125.5,87,745.5,382.5
2024-01-01 19:45:00+00:00,46923.2004178546,3.6,285,3.75,66.75,100,,804,,16000,0,0,,120.75,84.5,730.25,358.75
2024-01-01 20:00:00+00:00,46842.3487878788,3.6,280,4,66,100,c04d,804,Overcast clouds,16000,0,0,day,116,82,715,335
2024-01-01 20:15:00+00:00,45963.0961111111,3.6,285,4,66,100,,804,,16000,0,0,,108.5,78,683.5,301
2024-01-01 20:30:00+00:00,45083.8434343434,3.6,290,4,66,100,,804,,16000,0,0,,101,74,652,267
2024-01-01 20:45:00+00:00,44204.5907575758,3.6,295,4,66,100,,804,,16000,0,0,,93.5,70,620.5,233
