date_time,site,wind_spd,wind_dir,temperature,rel_humidity,clouds,weather_icon,weather_code,weather_description,visibility,precipitation,snow,part_of_day,solar_rad,dhi,dni,ghi
2024-01-01 00:00:00+00:00,131380.030581741,3.1,130,8,32,1,c01n,800,Clear Sky,16000,0,0,night,0,4,3,0
2024-01-01 00:15:00+00:00,133209.284661895,2.605,132.5,7.25,33.5,14.25,,800.75,,16000,0,0,,0,3,2.25,0
2024-01-01 00:30:00+00:00,135038.538742049,2.11,135,6.5,35,27.5,,801.5,,16000,0,0,,0,2,1.5,0
2024-01-01 00:45:00+00:00,136867.792822203,1.615,137.5,5.75,36.5,40.75,,802.25,,16000,0,0,,0,1,0.75,0
2024-01-01 01:00:00+00:00,138697.046902357,1.12,140,5,38,54,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 01:15:00+00:00,139508.712954545,0.9325,140,4.5,39.25,53,,803,,16000,0,0,,0,0,0,0
2024-01-01 01:30:00+00:00,140320.379006734,0.745,140,4,40.5,52,,803,,16000,0,0,,0,0,0,0
2024-01-01 01:45:00+00:00,141132.045058923,0.5575,140,3.5,41.75,51,,803,,16000,0,0,,0,0,0,0
2024-01-01 02:00:00+00:00,141943.711111111,0.37,140,3,43,50,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 02:15:00+00:00,142792.799722222,0.6525,140,2.75,44.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 02:30:00+00:00,143641.888333333,0.935,140,2.5,46,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 02:45:00+00:00,144490.976944444,1.2175,140,2.25,47.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 03:00:00+00:00,145340.065555556,1.5,140,2,49,50,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 03:15:00+00:00,145049.865833333,1.6,132.5,1.5,50.25,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 03:30:00+00:00,144759.666111111,1.7,125,1,51.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 03:45:00+00:00,144469.466388889,1.8,117.5,0.5,52.75,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 04:00:00+00:00,144179.266666667,1.9,110,0,54,50,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 04:15:00+00:00,142868.626111111,2.1375,117.5,0.25,52.75,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 04:30:00+00:00,141557.985555556,2.375,125,0.5,51.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 04:45:00+00:00,140247.345,2.6125,132.5,0.75,50.25,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 05:00:00+00:00,138936.704444444,2.85,140,1,49,50,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 05:15:00+00:00,139246.036111111,2.6625,137.5,1,49.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 05:30:00+00:00,139555.367777778,2.475,135,1,50,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 05:45:00+00:00,139864.699444444,2.2875,132.5,1,50.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 06:00:00+00:00,140174.031111111,2.1,130,1,51,50,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 06:15:00+00:00,141784.66,1.95,102.5,1.25,50.75,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 06:30:00+00:00,143395.288888889,1.8,75,1.5,50.5,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 06:45:00+00:00,145005.917777778,1.65,47.5,1.75,50.25,50,,803,,16000,0,0,,0,0,0,0
2024-01-01 07:00:00+00:00,146616.546666667,1.5,20,2,50,50,c03n,803,Broken clouds,16000,0,0,night,0,0,0,0
2024-01-01 07:15:00+00:00,145951.951666667,1.5375,42.5,1.75,51,46.75,,802.75,,16000,0,0,,0,0,0,0
2024-01-01 07:30:00+00:00,145287.356666667,1.575,65,1.5,52,43.5,,802.5,,16000,0,0,,0,0,0,0
2024-01-01 07:45:00+00:00,144622.761666667,1.6125,87.5,1.25,53,40.25,,802.25,,16000,0,0,,0,0,0,0
2024-01-01 08:00:00+00:00,143958.166666667,1.65,110,1,54,37,c02n,802,Scattered clouds,16000,0,0,night,0,0,0,0
2024-01-01 08:15:00+00:00,142449.744722222,1.7625,152.5,0.75,54.25,27.75,,801.5,,16000,0,0,,0,0,0,0
