step,mae_custom,rmse_custom
1,35153.32775332605,45447.374404023256
2,34531.262355348656,44633.041153209386
3,34021.24700985361,43966.30515539992
4,33486.644022886714,43237.19294089082
5,32986.277548258346,42526.52166010048
6,32507.640975782695,41873.39773145522
7,31947.635826325393,41087.21942031649
8,31296.266793536426,40142.97947857578
9,30459.731101229325,38896.656029720565
10,29773.888742025072,37948.95843598535
11,29148.178956076776,37139.881155299176
12,28657.906891483795,36552.987853117134
13,28305.125584244783,36170.58267443267
14,27899.29977914006,35687.315477274475
15,27444.88724569246,35098.08062617987
16,26903.665297058502,34284.572286566654
17,26342.306204660203,33293.22171342368
18,25748.54571956802,32318.141613790944
19,25199.850315454227,31487.139617820714
20,24654.006457776402,30736.658038845748
21,24092.939277354395,30056.279976843944
22,23550.229417597362,29253.60821345316
23,23085.848659156585,28443.942644821655
24,22649.003667398225,27576.73630909149
25,22277.47862944046,26728.876911052255
26,21976.01491276598,26108.934066144804
27,21731.560192485686,25674.92459802555
28,21566.599141966755,25427.678497529567
29,21431.069454736935,25267.380830856346
30,21280.920972876163,25112.667528921247
31,21095.261980163792,24944.631792856908
32,20888.697385164167,24774.222704996635
33,20641.131415694075,24600.050142665918
34,20373.449657482433,24398.188091014086
35,20081.735423746402,24155.829417619592
36,19783.25239005532,23851.815440011742
37,19446.866531718857,23470.038475470803
38,19173.10730419634,23199.341518499958
39,18963.591164559533,23024.858669822348
40,19005.011552857395,23040.935363426135
41,18956.15176990312,23014.882501897417
42,18921.494014237873,22996.368459881156
43,18901.03828586165,22985.424612607916
44,18891.03369701959,22979.664652455103
45,18895.23113546656,22982.083371888177
46,18887.873330857972,22978.18041455827
47,18868.96028319383,22969.011654029888
48,18823.645142814334,22949.480483791696
49,18766.7747593793,22927.556399969635
50,18722.283925410728,22908.30421760821
51,18690.17264090863,22892.89234726152
52,18581.739376373516,22832.54718486254
53,18485.685661304873,22774.42833723162
54,18394.36101656142,22728.43978506329
55,18307.76544214316,22693.679778723206
56,18181.792407995777,22658.797066702813
57,18104.582455774882,22638.16479086712
58,18019.230161746716,22613.88892478645
59,17925.735525911266,22585.681506397847
60,17877.82594148281,22566.526312019654
61,17821.77401524707,22543.14248212868
62,17826.735169454976,22544.88089538121
63,17892.709404106517,22563.571383579463
64,18033.223209723492,22616.986815813234
65,18142.280213832008,22672.448756933285
66,18258.611129140918,22722.421445048407
67,18382.215955650205,22765.812569143985
68,18533.037041576186,22828.427480698952
69,18647.067279653726,22877.3948815832
70,18721.407550370885,22910.26870373453
71,18756.057853727652,22926.044087523267
72,18729.710600213333,22913.397140558143
73,18663.673379338612,22880.77257492765
74,18678.085034226173,22888.750333724805
75,18772.945564876016,22946.79968222973
76,18949.22669037164,23084.01710744801
77,19205.956691629548,23297.359730713662
78,19437.032285532663,23464.388013724307
79,19642.453472080975,23591.243355196657
80,19838.112277535314,23707.7388030261
81,20008.116675634865,23791.56013453648
82,20215.890406206483,23886.278537811162
83,20387.482507023746,23983.597865373216
84,20564.606959121113,24108.059572879487
85,20705.54978146413,24222.398108681697
86,20782.773192651508,24301.880109801605
87,20796.277192683257,24318.733331851236
88,20713.69775351473,24206.338336508656
89,20567.39890319058,23973.189923464277
90,20381.06623289296,23683.067168350364
91,20154.699742621884,23338.270299475305
92,19823.09978976491,22850.28126135525
93,19451.466016934475,22312.17868630472
94,19179.25778548566,21934.47869802784
95,19006.475095418446,21707.242628994518
96,18919.339920824452,21593.650396007
