step,mae_custom,rmse_custom
1,37869.93342130523,43152.57905483896
2,38026.64284754187,43457.978699890176
3,38323.606239409884,43818.057510787825
4,38571.24280210661,44132.59774282788
5,38761.65450660824,44397.6776884056
6,39135.994458551664,44797.1146472708
7,39622.08618596501,45254.314935095776
8,40191.51832352818,45706.24207283881
9,40655.57191185993,46127.756875222585
10,41064.341103824445,46505.36084862309
11,41557.55290037789,46917.71976416002
12,42030.27685900603,47285.963782493745
13,42517.90323454232,47645.102692114655
14,42990.393216646306,47993.70408348539
15,43507.94058727848,48355.83646715363
16,44112.82130967209,48753.97779252921
17,44676.46361906359,49162.86177687056
18,45288.93663670139,49583.655751660874
19,45813.44442773418,49959.742048870045
20,46275.96345706334,50291.35760865283
21,46701.760662895416,50597.77217192474
22,47111.67282273791,50895.89102099386
23,47557.32200257203,51207.92401103831
24,48019.43806706742,51528.62969474378
25,48411.37386583234,51814.53811395545
26,48851.406079274486,52126.436207820654
27,49268.39664424171,52431.942967641604
28,49676.94196570405,52725.45947526383
29,50059.02056619028,53010.337808604745
30,50435.20180058014,53291.9825845637
31,50759.79620966417,53546.78528641358
32,51088.506609471195,53787.55972520606
33,51379.79555799314,54007.559763565856
34,51678.51270954396,54233.19839591801
35,51966.43869915119,54454.91344388393
36,52262.39584004926,54679.001988623575
37,52561.99498665022,54906.425182995714
38,52844.71642027224,55124.13292624751
39,53120.65265222356,55337.3342473808
40,53130.761824677254,55346.857423898706
41,53147.710847837094,55362.83490624164
42,53160.49058858951,55374.49615511212
43,53169.10104693455,55382.093694361196
44,53221.48290891371,55426.53474551936
45,53269.695488485486,55465.964994582544
46,53311.132561761224,55499.76278256765
47,53345.79412874096,55527.960877676545
48,53458.916008290405,55608.99097781185
49,53565.262381543835,55684.88425136602
50,53651.579107032965,55743.42490879489
51,53717.8661847578,55786.05081284342
52,53841.9475126653,55833.470160988916
53,53945.9991928085,55869.616552266496
54,54036.8693195118,55901.03221214975
55,54114.55789277522,55927.763531605015
56,54284.561034517166,55997.977810803066
57,54441.38262281923,56062.44191608005
58,54583.308348841325,56120.66476347811
59,54710.33821258347,56172.67713431494
60,54923.886625606836,56299.99906214066
61,55122.53917635026,56418.10629046651
62,55312.52487671972,56529.80098128027
63,55493.843726715226,56635.21477368012
64,55558.140108155865,56693.790062680935
65,55613.76963922253,56744.12075606013
66,55666.89392558482,56791.1222004995
67,55717.51296724272,56834.898879284636
68,55760.917865060685,56877.0713425065
69,55801.81751817425,56915.9967711234
70,55857.06002907133,56969.926694535
71,55926.64539775192,57039.54266117282
72,56050.34984355263,57174.96831305069
73,56188.39714713682,57329.18529551048
74,56333.20484900762,57490.59602867422
75,56484.772949165,57659.148110405324
76,56678.18282067351,57884.50858327711
77,56878.35309046862,58116.94370365692
78,57070.43828986474,58339.02530031137
79,57254.438418861886,58550.879114374475
80,57519.5785489124,58886.18973143541
81,57776.63360856394,59209.33797593762
82,57948.43553513434,59415.0708448985
83,58034.98432862361,59513.78506197011
84,58110.167162700054,59605.12413437722
85,58100.09686369536,59593.43927163354
86,58051.77563008421,59539.265726357204
87,57965.20346186656,59445.542825154145
88,57787.033505886175,59266.61502830274
89,57570.61261529932,59057.24545031207
90,57350.16196776801,58843.02610646527
91,57125.681563292244,58623.897027699
92,56850.073389526435,58371.64730534638
93,56570.43545881616,58114.352185803655
94,56301.05009701939,57860.73031841301
95,56041.9173041361,57611.18787448724
96,55731.853627533885,57329.74733906507
