step,mae_custom,rmse_custom
1,73172.36316489948,81581.11758524916
2,72102.9605601678,80482.7558975773
3,71117.98870827946,79403.39822035098
4,70019.28189428335,78371.7223360764
5,69009.12730655006,77295.06855327153
6,68045.93985430771,76269.44782291782
7,67050.07570075328,75256.20101048231
8,66088.9441423363,74262.59790306825
9,65114.36983714284,73276.7619017458
10,64194.35346358915,72503.03830972814
11,63618.421466405096,72040.36227085299
12,63166.69240464208,71761.47767202799
13,62831.77353078517,71614.53755837014
14,62912.852259045256,71733.13206103591
15,63064.37504865459,71826.34613704654
16,63350.71200186573,71994.51963488644
17,63453.40761828801,72137.70811958662
18,63223.20583182352,72070.09975201772
19,63127.0789488666,72092.59338889051
20,62774.76958040408,71946.7390189248
21,62408.66188624864,71788.31185877438
22,62048.99872250325,71635.51481705446
23,61619.58918902165,71434.31492606457
24,61654.24124966399,71434.61354359845
25,61618.98185677878,71387.98193724459
26,61517.57726005907,71300.34118711924
27,61412.567591822764,71215.14079884175
28,61206.39179601981,71086.69206565763
29,60965.47414906833,70937.12300004577
30,60785.21442462926,70831.23123628179
31,60541.35024435722,70682.90336529103
32,60188.809157003336,70516.37249208994
33,59816.32208342691,70337.09736232612
34,59442.88818878853,70162.05413864183
35,59067.08765490367,69990.14058624256
36,58665.99454120112,69833.48933551817
37,58271.898278682806,69685.95189169655
38,57879.56054768816,69537.19390438717
39,57481.537211628194,69382.24355004038
40,57478.95663008944,69381.1386109409
41,58352.91176871528,70282.49494963825
42,58734.51933842278,70543.1571166914
43,58623.77933921193,70505.20188201273
44,58316.35142004632,70225.06792367369
45,57516.57593196235,69765.81646601656
46,56750.29550280094,69303.49466927344
47,56017.510132562085,68839.75276506327
48,55248.51319879354,68232.61716264738
49,54513.01132394754,67627.69693279294
50,53749.07581931407,67006.47654679461
51,52956.70668489315,66369.46529387686
52,52209.40629126873,65730.81998523948
53,51433.67226785684,65074.69902237326
54,50619.84295956491,64401.24613609075
55,49767.91836639293,63712.00052751063
56,48858.2927982111,62992.11175431376
57,47910.57194514922,62259.810533623684
58,46999.54268247034,61519.903005844186
59,46125.20501017446,60774.37415270901
60,45317.49836705051,60010.912455271566
61,44546.48331430956,59248.57796602133
62,43712.07324184008,58441.281168727546
63,42814.26814964205,57591.59069800508
64,41835.761891487586,56707.195418094845
65,40801.859896012,55787.92455718338
66,39789.4293820179,54860.41433257829
67,38798.470349505274,53924.775094078876
68,37791.964282118446,52974.848683034485
69,36771.44890338902,52014.209233027424
70,35755.971962042684,51037.140948057284
71,34754.48801838153,50043.012641438356
72,33714.77745176815,48985.63718679166
73,32689.05988283994,47906.96035026973
74,31662.104781030852,46803.74745118054
75,30669.60396452268,45676.69077888133
76,29604.42371285964,44458.9204882037
77,28573.69774649751,43208.86809365209
78,27641.703710112244,41956.61532094242
79,26808.44160370383,40721.622656623585
80,26088.309791177526,39599.79243920033
81,25466.909908628073,38540.26503510386
82,24818.718886558414,37416.340623702614
83,24143.73672496856,36223.15662744512
84,23434.714337672427,34993.58601395786
85,22698.9008108561,33686.82011485682
86,21940.725333362,32314.3901490432
87,21160.187905190123,30869.34909274808
88,20323.63310428873,29456.285175665977
89,19464.716352709544,27969.56530099423
90,18622.584531664583,26437.08260302495
91,17797.237641153824,24850.107090786187
92,17295.80896913942,24332.95048582183
93,16811.165227659225,23826.429840633828
94,16349.175562299033,23284.490807962713
95,15909.839973058833,22709.51617915493
96,15820.110703599194,22680.96354540878
