step,mae_chronos,rmse_chronos
1,1659.973221900136,2145.605030644573
2,2156.9850673932465,3082.8892167344407
3,2776.7575549664657,3903.5519304654517
4,3428.068156311337,4605.883414657763
5,3878.7814472780915,5100.72820102052
6,4175.422110231419,5344.369298002492
7,4297.268284371045,5596.350753431912
8,4435.904623422627,5876.209074622609
9,4416.3248727715245,5857.127482052239
10,4345.3537192828635,5666.09587564746
11,4126.630822649348,5412.886913579256
12,4024.5186839885746,5272.154265806811
13,3902.5711226144194,5122.316309893576
14,3886.371216376198,5100.897725739407
15,4018.464430001471,5071.365426934649
16,4207.994045546096,5151.775411087969
17,4270.248350841296,5408.46785899044
18,4365.624204644608,5453.018431308807
19,4320.26062385829,5379.833147653632
20,4350.697122990804,5488.90786450617
21,4032.9260121332627,5115.287240045243
22,3963.576494920362,5062.380616592561
23,3824.911037645804,4981.458831870417
24,3891.711283579761,5093.5319724173
25,4007.7925154563363,5221.487197541413
26,4274.11138978836,5491.324310517418
27,4307.149876592158,5645.109644413463
28,4441.033678913319,5865.952444956679
29,4707.568152760016,6127.862704907904
30,4885.643245935503,6194.345038583031
31,4893.2839174793935,6097.164469145733
32,5045.749253164552,6124.543070588027
33,5351.42339300003,6474.243313122581
34,5622.234792004922,6665.682278080459
35,5567.383671578871,6587.578210306911
36,5675.904625161033,6688.053083179341
37,5816.757228617628,6725.007853423369
38,5904.828696946354,6806.885263921963
39,5804.111092809504,6751.0748447368715
40,5677.342569340163,6750.64060468187
41,5656.68078472232,6751.938462320789
42,5732.54963510974,6824.9288946816805
43,5653.082312898549,6833.696149802515
44,5988.837579169193,7503.201734764527
45,6217.410949183775,8127.027260968259
46,6575.1208561570875,8830.125290526918
47,6391.152459830551,8832.445818803257
48,6537.954385573007,8989.53336440274
49,7042.927046353464,9539.954893580896
50,7497.339195064159,10076.430804833504
51,7481.025425250988,9978.698227677607
52,7523.080017283701,9867.031829763035
53,7822.223976755252,10092.480931209075
54,8053.572956045375,10361.962123104793
55,7904.922264502544,10080.003018389963
56,7952.540314497898,10202.737895721311
57,8105.892786443806,10284.327445063429
58,8538.94295680606,10803.892023789898
59,8564.206220705977,10678.325072680136
60,8623.682072988913,10672.498192437135
61,8542.695170685334,10469.595148701179
62,8469.944169394905,10343.545929833812
63,8292.117619580757,9976.85830687714
64,8308.709748047015,9898.083220027565
65,8042.087340185649,9841.804193930464
66,7970.9044872842205,9883.196964687562
67,7774.34883028392,9854.232022959426
68,7772.352695290451,9934.199527414778
69,7850.390354809472,10034.895250651813
70,7934.5963063488325,10128.576107876781
71,7744.572294336301,9998.708297019191
72,7627.269534748613,9912.285036564193
73,7627.505801299753,9944.952027651172
74,7585.435239147454,9949.190263036795
75,7247.344689303558,9658.484022736679
76,7053.408376901581,9606.801190694923
77,6936.292360917634,9499.827057779907
78,6804.4872586050915,9272.150870893973
79,6700.293117099807,9103.806278302993
80,6749.578049285721,8951.786055551782
81,7238.940974531933,9679.345016097712
82,7599.007084238091,10039.599945275935
83,7571.73877775238,9985.888328781368
84,7841.738743953136,10315.462187946443
85,8120.326099929054,10577.849523182223
86,8500.850339946579,11053.461625935488
87,8317.426518010549,10906.314070755285
88,8389.64398968192,10997.869073935393
89,8685.34263734302,11292.681483418402
90,9052.891776057239,11553.760835224617
91,9024.520756830343,11586.243682119746
92,9135.82673327612,11720.55763927689
93,9369.73668612402,11884.460969561413
94,9275.792984868762,11712.873910839522
95,9143.821956274267,11528.026629417338
96,9160.314064258073,11307.364207135292
