step,mae_chronos,rmse_chronos
1,1662.9583380094557,2238.2897758741838
2,2220.763266900382,3992.3682942091186
3,3096.956299422153,5975.038966901024
4,4186.808056207825,7751.69508850705
5,5335.123768070856,9302.790418671188
6,6444.885035156146,10712.058472581612
7,7542.779582313043,12039.416548233774
8,8295.88423864168,13035.495729916618
9,8702.703474784917,13615.445238997168
10,9086.372162037878,14090.894869534784
11,9706.64705881468,15011.198571011684
12,10071.488245802228,15654.930817212578
13,10199.978261296488,15963.635472548956
14,10446.14181527727,16356.972492649835
15,10639.584965215929,16597.4787692695
16,10844.310948965216,16971.759581015125
17,11082.387197880475,17272.877505139324
18,11150.486796704332,17258.39869694825
19,11249.274284642137,17302.70518481504
20,11258.144759609446,17263.09672961696
21,11138.295374549814,16963.482376288805
22,11148.12093296907,16933.969525117107
23,11272.500529189,17033.075955457392
24,11143.3156294181,16748.685554196443
25,10932.199234801847,16594.524047045314
26,10770.894999233104,16418.208509250577
27,10653.966728553807,16275.389503335875
28,10604.675028025144,16272.075391043174
29,10559.203780151216,16263.382476572142
30,10480.794285722393,16154.311498590476
31,10513.395457658888,16239.646723732794
32,10575.131483032897,16340.869952573768
33,10538.182066531115,16320.38169531708
34,10600.433504529796,16304.604556300066
35,10753.370133968516,16370.453741542085
36,11032.760226300772,16612.589917352918
37,11113.056414731473,16583.701984895477
38,11305.332428477177,16722.841042681
39,11604.92037807625,17045.89932493476
40,11677.6370567497,17203.300561594577
41,11649.603694227433,17186.48537912447
42,11872.059303498849,17411.842559338147
43,12021.981306258393,17589.924350503643
44,12166.380753290496,17812.437223568068
45,12188.453476507124,17846.68441639396
46,12185.17849594028,17854.158107436906
47,12207.639394594815,17796.871614425385
48,12322.46564985269,17931.399426470467
49,12204.307955483688,17940.911729294545
50,12010.07621734603,17689.49602657478
51,11969.478052480754,17485.889885911893
52,12063.425728774298,17465.556996041163
53,12112.160752526794,17484.360273979928
54,12265.442138451444,17538.06456794537
55,12579.356310764671,17740.11348808188
56,12753.017988825011,17734.710182270213
57,12693.024182941743,17689.002322295513
58,12741.71492210765,17741.71091934213
59,12921.702248101516,17815.493202040736
60,13037.56971189702,17885.664802670413
61,12919.55093319633,17864.999697655847
62,13062.640510905101,18072.584275750156
63,13401.353463501517,18449.752920995445
64,13497.562837950038,18347.780589398786
65,13498.809206988371,18655.539200338142
66,13377.316855158464,18446.888207475444
67,13281.914313621392,18262.337014158067
68,13197.880070349682,18157.63445324139
69,13186.770288000806,18258.39278997187
70,13216.355222018708,18386.17321201508
71,13316.737224696773,18552.501578421656
72,13290.766845863145,18549.703545072727
73,13164.480339813379,18386.928635846605
74,13001.132801493706,18224.650926036527
75,12937.219577848797,18214.949333477995
76,12781.93347529331,18168.273644528716
77,12514.430478936083,18076.074676454544
78,12347.99614178427,18174.75331367798
79,12110.31779812303,18096.46063293305
80,12019.634880942052,18243.542145959276
81,12009.171914869054,18386.429564419228
82,11944.401118402875,18279.04926811233
83,11903.31510963299,18212.35843943615
84,11929.561001961452,18240.585822542933
85,11987.587426545195,18264.121239401207
86,12090.833852662021,18409.49768041299
87,12197.13634693465,18574.907228794535
88,12223.771249569238,18502.957594417112
89,12193.297357816671,18436.96746866298
90,12093.901329405424,18226.332200093177
91,12047.795942807486,18185.857373378472
92,11952.626729627566,18223.914955932683
93,11889.081126083529,18187.978864018743
94,11798.61478587734,18137.47195733683
95,11783.393949501948,18192.900335376016
96,11782.014240547225,18140.93657951272
